n	tiempo
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	1e-06
13	0
14	0
15	0
16	1e-06
17	0
18	1e-06
19	0
20	1e-06
21	0
22	0
23	0
24	1e-06
25	0
26	0
27	0
28	0
29	1e-06
30	0
31	0
32	0
33	1e-06
34	0
35	0
36	0
37	0
38	1e-06
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	1e-06
49	0
50	0
51	0
52	0
53	1e-06
54	0
55	0
56	0
57	1e-06
58	0
59	1e-06
60	0
61	0
62	0
63	1e-06
64	0
65	0
66	0
67	1e-06
68	0
69	0
70	1e-06
71	1e-06
72	0
73	0
74	0
75	0
76	0
77	1e-06
78	1e-06
79	1e-06
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	1e-06
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	1e-06
100	0
101	0
102	0
103	1e-06
104	0
105	1e-06
106	0
107	1e-06
108	0
109	1e-06
110	0
111	0
112	0
113	0
114	1e-06
115	0
116	1e-06
117	0
118	0
119	0
120	0
121	0
122	0
123	1e-06
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	1e-06
135	1e-06
136	1e-06
137	1e-06
138	1e-06
139	1e-06
140	1e-06
141	1e-06
142	0
143	0
144	0
145	1e-06
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	1e-06
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	1e-06
168	0
169	0
170	1e-06
171	0
172	1e-06
173	0
174	0
175	0
176	0
177	1e-06
178	0
179	0
180	1e-06
181	0
182	0
183	0
184	1e-06
185	0
186	1e-06
187	0
188	0
189	0
190	0
191	0
192	1e-06
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	1e-06
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	1e-06
212	0
213	0
214	0
215	0
216	0
217	1e-06
218	1e-06
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	1e-06
229	0
230	0
231	0
232	0
233	1e-06
234	1e-06
235	0
236	0
237	0
238	0
239	0
240	0
