n	tiempo
238	1e-06
239	0
240	0
241	0
242	0
243	0
244	0
245	1e-06
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	1e-06
255	0
256	0
257	0
258	0
259	0
260	1e-06
261	0
262	1e-06
263	0
264	0
265	1e-06
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	1e-06
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	1e-06
284	0
285	1e-06
286	1e-06
287	0
288	0
289	0
290	0
291	1e-06
292	0
293	0
294	0
295	1e-06
296	0
297	0
298	0
299	0
300	1e-06
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	1e-06
310	0
311	0
312	1e-06
313	0
314	0
315	0
316	0
317	0
318	1e-06
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	1e-06
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	1e-06
336	0
337	1e-06
338	0
339	1e-06
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	1e-06
348	0
349	0
350	0
351	0
352	0
353	0
354	1e-06
355	0
356	0
357	0
358	1e-06
359	0
360	0
361	1e-06
362	0
363	1e-06
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	1e-06
385	1e-06
386	0
387	0
388	0
389	0
390	1e-06
391	0
392	0
393	0
394	0
395	0
396	1e-06
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	1e-06
406	0
407	0
408	0
409	1e-06
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	1e-06
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	1e-06
430	0
431	1e-06
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	1e-06
441	0
442	0
443	0
444	0
445	0
446	1e-06
447	0
448	0
449	0
450	1e-06
451	0
452	0
453	0
454	0
455	1e-06
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	1e-06
465	0
466	0
467	1e-06
468	0
469	0
470	0
471	0
472	1e-06
473	1e-06
474	0
475	1e-06
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	1e-06
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	1e-06
504	0
505	0
506	0
507	0
508	0
509	1e-06
510	0
511	0
512	0
513	0
514	1e-06
515	0
516	0
517	0
518	0
519	0
520	1e-06
521	0
522	1e-06
523	0
524	1e-06
525	0
526	0
527	0
528	1e-06
529	0
530	1e-06
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	1e-06
544	1e-06
545	0
546	1e-06
547	0
548	0
549	0
550	0
551	1e-06
552	1e-06
553	0
554	1e-06
555	0
556	0
557	0
558	1e-06
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	1e-06
571	1e-06
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	1e-06
580	1e-06
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	1e-06
589	0
590	0
591	0
592	0
593	1e-06
594	0
595	0
596	0
597	0
598	0
599	0
600	0
601	0
602	0
603	0
604	0
605	1e-06
606	0
607	1e-06
608	0
609	0
610	0
611	0
612	0
613	0
614	1e-06
615	0
616	0
617	0
618	0
619	1e-06
620	0
621	0
622	0
623	0
624	0
625	0
626	1e-06
627	0
628	0
629	0
630	0
631	0
632	1e-06
633	0
634	0
635	0
636	0
637	0
638	0
639	0
640	0
641	1e-06
642	0
643	1e-06
644	0
645	1e-06
646	0
647	0
648	0
649	1e-06
650	0
651	0
652	0
653	0
654	1e-06
655	0
656	1e-06
657	0
658	1e-06
659	0
660	0
661	0
662	0
663	0
664	1e-06
665	0
666	0
667	0
668	0
669	0
670	1e-06
671	0
672	1e-06
673	0
674	1e-06
675	0
676	0
677	0
678	1e-06
679	0
680	1e-06
681	0
682	0
683	0
684	1e-06
685	0
686	0
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	1e-06
696	0
697	0
698	0
699	0
700	0
701	1e-06
702	0
703	0
704	0
705	0
706	1e-06
707	1e-06
708	0
709	0
710	0
711	0
712	1e-06
713	0
714	0
715	0
716	0
717	1e-06
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	1e-06
732	0
733	0
734	0
735	0
736	0
737	1e-06
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	1e-06
749	0
750	1e-06
751	0
752	1e-06
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	1e-06
762	0
763	0
764	1e-06
765	0
766	0
767	0
768	0
769	0
770	0
771	0
772	1e-06
773	0
774	0
775	0
776	0
777	0
778	1e-06
779	0
780	0
781	0
782	0
783	1e-06
784	0
785	1e-06
786	0
787	0
788	0
789	0
790	0
791	0
792	1e-06
793	0
794	0
795	0
796	1e-06
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	1e-06
807	1e-06
808	0
809	0
810	0
811	0
812	0
813	0
814	0
815	0
816	1e-06
817	0
818	0
819	0
820	0
821	0
822	0
823	1e-06
824	1e-06
825	0
826	1e-06
827	0
828	0
829	1e-06
830	0
831	1e-06
832	1e-06
833	0
834	1e-06
835	0
836	1e-06
837	0
838	0
839	0
840	1e-06
841	0
842	1e-06
843	0
844	0
845	0
846	1e-06
847	0
848	1e-06
849	0
850	1e-06
851	0
852	0
853	0
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	0
862	0
863	0
864	0
865	0
866	0
867	0
868	1e-06
869	1e-06
870	0
871	1e-06
872	0
873	0
874	0
875	0
876	1e-06
877	0
878	0
879	0
880	0
881	0
882	0
883	0
884	0
885	0
886	0
887	1e-06
888	0
889	0
890	0
891	0
892	0
893	0
894	0
895	0
896	0
897	0
898	1e-06
899	0
900	0
901	0
902	0
903	0
904	0
905	0
906	0
907	1e-06
908	0
909	0
910	0
911	0
912	1e-06
913	1e-06
914	0
915	0
916	0
917	0
918	1e-06
919	0
920	0
921	0
922	0
923	0
924	0
925	0
926	0
927	0
928	0
929	0
930	0
931	0
932	0
933	1e-06
934	0
935	1e-06
936	0
937	0
938	0
939	0
940	0
941	1e-06
942	0
943	0
944	0
945	0
946	0
947	0
948	0
949	0
950	0
951	0
952	0
953	0
954	0
955	0
956	0
957	0
958	0
959	0
960	0
961	0
962	0
963	0
964	0
965	0
966	1e-06
967	0
968	0
969	0
970	0
971	0
972	1e-06
973	0
974	0
975	0
976	1e-06
977	0
978	0
979	0
980	0
981	0
982	1e-06
983	0
984	0
985	0
986	0
987	0
988	0
989	0
990	0
991	1e-06
992	0
993	1e-06
994	0
995	0
996	0
997	0
998	0
999	0
1000	0
