n	tiempo
1	0
2	0
3	0
4	0
5	0
6	1e-06
7	0
8	1e-06
9	0
10	0
11	1e-06
12	0
13	1e-06
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	1e-06
28	0
29	1e-06
30	0
31	0
32	0
33	0
34	0
35	1e-06
36	0
37	0
38	0
39	0
40	0
41	0
42	1e-06
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	1e-06
55	0
56	0
57	0
58	1e-06
59	0
60	1e-06
61	1e-06
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	1e-06
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	1e-06
78	0
79	0
80	0
81	1e-06
82	0
83	1e-06
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	1e-06
92	0
93	0
94	1e-06
95	0
96	1e-06
97	0
98	0
99	0
100	1e-06
101	0
102	1e-06
103	1e-06
104	0
105	0
106	1e-06
107	0
108	1e-06
109	0
110	0
111	0
112	0
113	0
114	0
115	1e-06
116	0
117	1e-06
118	0
119	1e-06
120	0
121	0
122	0
123	1e-06
124	0
125	1e-06
126	0
127	0
128	0
129	0
130	1e-06
131	0
132	0
133	0
134	0
135	0
136	1e-06
137	0
138	1e-06
139	0
140	0
141	0
142	0
143	1e-06
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	1e-06
153	0
154	0
155	0
156	1e-06
157	0
158	1e-06
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	1e-06
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	1e-06
178	1e-06
179	0
180	0
181	0
182	0
183	0
184	1e-06
185	0
186	0
187	0
188	0
189	0
190	0
191	1e-06
192	0
193	1e-06
194	0
195	0
196	1e-06
197	0
198	1e-06
199	0
200	0
201	0
202	0
203	0
204	1e-06
205	1e-06
206	0
207	0
208	0
209	1e-06
210	1e-06
211	0
212	1e-06
213	0
214	1e-06
215	0
216	0
217	1e-06
218	0
219	1e-06
220	0
221	0
222	1e-06
223	0
224	0
225	0
226	0
227	0
228	1e-06
229	0
230	1e-06
231	0
232	0
233	0
234	0
235	0
236	0
237	0
