n	tiempo
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	0
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	1e-06
711	0
712	0
713	0
714	0
715	0
716	1e-06
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	1e-06
728	0
729	0
730	0
731	0
732	1e-06
733	0
734	0
735	0
736	0
737	1e-06
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	1e-06
755	0
756	0
757	0
758	0
759	0
760	0
761	1e-06
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	1e-06
772	1e-06
773	1e-06
774	0
775	0
776	0
777	0
778	0
779	0
780	0
781	0
782	0
783	1e-06
784	0
785	0
786	0
787	0
788	0
789	1e-06
790	0
791	0
792	0
793	0
794	1e-06
795	0
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	1e-06
806	0
807	0
808	1e-06
809	0
810	1e-06
811	0
812	0
813	0
814	0
815	1e-06
816	0
817	0
818	0
819	1e-06
820	0
821	1e-06
822	0
823	0
824	1e-06
825	0
826	0
827	1e-06
828	0
829	0
830	0
831	0
832	1e-06
833	0
834	0
835	1e-06
836	0
837	0
838	1e-06
839	0
840	0
841	0
842	0
843	0
844	0
845	0
846	1e-06
847	1e-06
848	0
849	1e-06
850	1e-06
851	1e-06
852	0
853	0
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	0
862	0
863	0
864	1e-06
865	0
866	0
867	0
868	0
869	1e-06
870	0
871	0
872	1e-06
873	1e-06
874	0
875	0
876	0
877	0
878	0
879	0
880	1e-06
881	0
882	0
883	0
884	0
885	0
886	0
887	0
888	1e-06
889	0
890	0
891	1e-06
892	0
893	1e-06
894	0
895	0
896	0
897	0
898	0
899	0
900	0
901	0
902	0
903	0
904	0
905	0
906	0
907	0
908	0
909	0
910	0
911	0
912	0
913	1e-06
914	0
915	0
916	1e-06
917	1e-06
918	0
919	0
920	0
921	1e-06
922	0
923	0
924	0
925	0
926	0
927	0
928	0
929	0
930	0
931	0
932	1e-06
933	0
934	1e-06
935	0
936	1e-06
937	0
938	0
939	0
940	0
941	0
942	0
943	0
944	0
945	0
946	1e-06
947	0
948	0
949	0
950	0
951	1e-06
952	0
953	0
954	0
955	0
956	0
957	1e-06
958	0
959	0
960	1e-06
961	0
962	0
963	0
964	1e-06
965	0
966	0
967	0
968	0
969	1e-06
970	0
971	0
972	0
973	0
974	0
975	0
976	1e-06
977	1e-06
978	1e-06
979	1e-06
980	0
981	0
982	0
983	0
984	0
985	0
986	0
987	0
988	0
989	0
990	1e-06
991	0
992	0
993	0
994	0
995	0
996	1e-06
997	0
998	0
999	0
1000	0
